|dates|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1747.0|0|54.0|0|0.0|0
0|2020-05-18|1764.0|0|54.0|0|0.0|0
0|2020-05-19|1820.0|0|54.0|0|0.0|0
0|2020-05-20|1932.0|0|54.0|0|0.0|0
0|2020-05-21|1963.0|0|81.0|0|0.0|0
0|2020-05-22|2004.0|0|81.0|0|0.0|0
0|2020-05-23|2004.0|0|81.0|0|0.0|0
