|dates|OutofFL_Florida_UnitedStates.JHU_ConfirmedCases.data|OutofFL_Florida_UnitedStates.JHU_ConfirmedCases.missing|OutofFL_Florida_UnitedStates.JHU_ConfirmedDeaths.data|OutofFL_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|OutofFL_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|OutofFL_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|0.0|0|0.0|0|0.0|0
0|2020-05-25|0.0|0|0.0|0|0.0|0
0|2020-05-26|0.0|0|0.0|0|0.0|0
