|dates|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Norfolk_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|7474.0|0|725.0|0|0.0|0
0|2020-05-18|7524.0|0|728.0|0|0.0|0
0|2020-05-19|7565.0|0|735.0|0|0.0|0
0|2020-05-20|7607.0|0|749.0|0|0.0|0
0|2020-05-21|7691.0|0|759.0|0|0.0|0
0|2020-05-22|7724.0|0|771.0|0|0.0|0
0|2020-05-23|7724.0|0|771.0|0|0.0|0
