|dates|Erath_Texas_UnitedStates.JHU_ConfirmedCases.data|Erath_Texas_UnitedStates.JHU_ConfirmedCases.missing|Erath_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Erath_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Erath_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Erath_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|15.0|0|1.0|0|0.0|0
0|2020-05-25|15.0|0|1.0|0|0.0|0
0|2020-05-26|15.0|0|1.0|0|0.0|0
