|dates|Toombs_Georgia_UnitedStates.JHU_ConfirmedCases.data|Toombs_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Toombs_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Toombs_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Toombs_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Toombs_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|44.0|0|4.0|0|0.0|0
0|2020-05-18|46.0|0|4.0|0|0.0|0
0|2020-05-19|46.0|0|4.0|0|0.0|0
0|2020-05-20|47.0|0|4.0|0|0.0|0
0|2020-05-21|48.0|0|4.0|0|0.0|0
0|2020-05-22|50.0|0|4.0|0|0.0|0
0|2020-05-23|50.0|0|4.0|0|0.0|0
