|dates|Buncombe_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Buncombe_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Buncombe_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Buncombe_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Buncombe_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Buncombe_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|168.0|0|4.0|0|0.0|0
0|2020-05-18|176.0|0|4.0|0|0.0|0
0|2020-05-19|176.0|0|4.0|0|0.0|0
0|2020-05-20|183.0|0|7.0|0|0.0|0
0|2020-05-21|183.0|0|7.0|0|0.0|0
0|2020-05-22|246.0|0|8.0|0|0.0|0
0|2020-05-23|246.0|0|8.0|0|0.0|0
