|dates|Fairfield_Ohio_UnitedStates.JHU_ConfirmedCases.data|Fairfield_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Fairfield_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Fairfield_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Fairfield_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Fairfield_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|205.0|0|3.0|0|0.0|0
0|2020-05-18|208.0|0|3.0|0|0.0|0
0|2020-05-19|215.0|0|3.0|0|0.0|0
0|2020-05-20|217.0|0|3.0|0|0.0|0
0|2020-05-21|222.0|0|3.0|0|0.0|0
0|2020-05-22|229.0|0|3.0|0|0.0|0
0|2020-05-23|229.0|0|3.0|0|0.0|0
