|dates|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|405.0|0|23.0|0|0.0|0
0|2020-05-18|423.0|0|24.0|0|0.0|0
0|2020-05-19|429.0|0|25.0|0|0.0|0
0|2020-05-20|452.0|0|26.0|0|0.0|0
0|2020-05-21|470.0|0|26.0|0|0.0|0
0|2020-05-22|477.0|0|27.0|0|0.0|0
0|2020-05-23|477.0|0|27.0|0|0.0|0
