|dates|GraysHarbor_Washington_UnitedStates.JHU_ConfirmedCases.data|GraysHarbor_Washington_UnitedStates.JHU_ConfirmedCases.missing|GraysHarbor_Washington_UnitedStates.JHU_ConfirmedDeaths.data|GraysHarbor_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|GraysHarbor_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|GraysHarbor_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|16.0|0|0.0|0|0.0|0
0|2020-05-25|16.0|0|0.0|0|0.0|0
0|2020-05-26|16.0|0|0.0|0|0.0|0
