|dates|Renville_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Renville_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Renville_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Renville_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Renville_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Renville_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|1.0|0|0.0|0|0.0|0
0|2020-05-15|1.0|0|0.0|0|0.0|0
0|2020-05-16|1.0|0|0.0|0|0.0|0
