|dates|Sevier_Utah_UnitedStates.JHU_ConfirmedCases.data|Sevier_Utah_UnitedStates.JHU_ConfirmedCases.missing|Sevier_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Sevier_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Sevier_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Sevier_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|0.0|0|0.0|0|0.0|0
0|2020-05-25|0.0|0|0.0|0|0.0|0
0|2020-05-26|0.0|0|0.0|0|0.0|0
