|dates|Crane_Texas_UnitedStates.JHU_ConfirmedCases.data|Crane_Texas_UnitedStates.JHU_ConfirmedCases.missing|Crane_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Crane_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Crane_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Crane_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|7.0|0|0.0|0|0.0|0
0|2020-05-25|22.0|0|0.0|0|0.0|0
0|2020-05-26|22.0|0|0.0|0|0.0|0
