|dates|Clay_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Clay_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Clay_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|24.0|0|0.0|0|0.0|0
0|2020-05-28|24.0|0|0.0|0|0.0|0
0|2020-05-29|24.0|0|0.0|0|0.0|0
0|2020-05-30|24.0|0|0.0|0|0.0|0
