|dates|Muskegon_Michigan_UnitedStates.JHU_ConfirmedCases.data|Muskegon_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Muskegon_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Muskegon_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Muskegon_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Muskegon_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|486.0|0|24.0|0|0.0|0
0|2020-05-18|513.0|0|24.0|0|0.0|0
0|2020-05-19|519.0|0|25.0|0|0.0|0
0|2020-05-20|530.0|0|26.0|0|0.0|0
0|2020-05-21|552.0|0|26.0|0|0.0|0
0|2020-05-22|561.0|0|26.0|0|0.0|0
0|2020-05-23|561.0|0|26.0|0|0.0|0
