|dates|White_Georgia_UnitedStates.JHU_ConfirmedCases.data|White_Georgia_UnitedStates.JHU_ConfirmedCases.missing|White_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|White_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|White_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|White_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|89.0|0|2.0|0|0.0|0
0|2020-05-18|87.0|0|3.0|0|0.0|0
0|2020-05-19|90.0|0|3.0|0|0.0|0
0|2020-05-20|91.0|0|3.0|0|0.0|0
0|2020-05-21|91.0|0|3.0|0|0.0|0
0|2020-05-22|92.0|0|3.0|0|0.0|0
0|2020-05-23|92.0|0|3.0|0|0.0|0
