|dates|Matagorda_Texas_UnitedStates.JHU_ConfirmedCases.data|Matagorda_Texas_UnitedStates.JHU_ConfirmedCases.missing|Matagorda_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Matagorda_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Matagorda_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Matagorda_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|65.0|0|5.0|0|0.0|0
0|2020-05-18|65.0|0|5.0|0|0.0|0
0|2020-05-19|65.0|0|5.0|0|0.0|0
0|2020-05-20|66.0|0|5.0|0|0.0|0
0|2020-05-21|66.0|0|5.0|0|0.0|0
0|2020-05-22|67.0|0|5.0|0|0.0|0
0|2020-05-23|67.0|0|5.0|0|0.0|0
