|dates|Warren_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Warren_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Warren_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Warren_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Warren_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Warren_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|920.0|0|5.0|0|0.0|0
0|2020-05-25|920.0|0|5.0|0|0.0|0
0|2020-05-26|920.0|0|5.0|0|0.0|0
