|dates|Spalding_Georgia_UnitedStates.JHU_ConfirmedCases.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Spalding_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Spalding_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Spalding_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|239.0|0|15.0|0|0.0|0
0|2020-05-18|242.0|0|15.0|0|0.0|0
0|2020-05-19|246.0|0|14.0|0|0.0|0
0|2020-05-20|251.0|0|14.0|0|0.0|0
0|2020-05-21|246.0|0|14.0|0|0.0|0
0|2020-05-22|250.0|0|14.0|0|0.0|0
0|2020-05-23|250.0|0|14.0|0|0.0|0
