|dates|Russell_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Russell_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Russell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Russell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Russell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Russell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|23.0|0|4.0|0|0.0|0
0|2020-05-18|22.0|0|4.0|0|0.0|0
0|2020-05-19|22.0|0|4.0|0|0.0|0
0|2020-05-20|22.0|0|4.0|0|0.0|0
0|2020-05-21|22.0|0|4.0|0|0.0|0
0|2020-05-22|22.0|0|4.0|0|0.0|0
0|2020-05-23|22.0|0|4.0|0|0.0|0
