|dates|Preble_Ohio_UnitedStates.JHU_ConfirmedCases.data|Preble_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Preble_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Preble_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Preble_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Preble_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|31.0|0|1.0|0|0.0|0
0|2020-05-28|31.0|0|1.0|0|0.0|0
0|2020-05-29|31.0|0|1.0|0|0.0|0
0|2020-05-30|31.0|0|1.0|0|0.0|0
