|dates|Hocking_Ohio_UnitedStates.JHU_ConfirmedCases.data|Hocking_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Hocking_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Hocking_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Hocking_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Hocking_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|65.0|0|4.0|0|0.0|0
0|2020-05-25|65.0|0|4.0|0|0.0|0
0|2020-05-26|65.0|0|4.0|0|0.0|0
