|dates|Marion_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Marion_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Marion_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|32.0|0|1.0|0|0.0|0
0|2020-05-18|33.0|0|1.0|0|0.0|0
0|2020-05-19|34.0|0|1.0|0|0.0|0
0|2020-05-20|34.0|0|1.0|0|0.0|0
0|2020-05-21|35.0|0|1.0|0|0.0|0
0|2020-05-22|35.0|0|1.0|0|0.0|0
0|2020-05-23|35.0|0|1.0|0|0.0|0
