|dates|Calhoun_Georgia_UnitedStates.JHU_ConfirmedCases.data|Calhoun_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Calhoun_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Calhoun_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Calhoun_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Calhoun_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|117.0|0|5.0|0|0.0|0
0|2020-05-15|124.0|0|7.0|0|0.0|0
0|2020-05-16|124.0|0|7.0|0|0.0|0
