|dates|Pierce_Georgia_UnitedStates.JHU_ConfirmedCases.data|Pierce_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Pierce_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Pierce_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Pierce_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Pierce_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|89.0|0|3.0|0|0.0|0
0|2020-05-25|90.0|0|3.0|0|0.0|0
0|2020-05-26|90.0|0|3.0|0|0.0|0
