|dates|Wyoming_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Wyoming_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Wyoming_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Wyoming_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Wyoming_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Wyoming_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|29.0|0|4.0|0|0.0|0
0|2020-05-18|30.0|0|4.0|0|0.0|0
0|2020-05-19|30.0|0|5.0|0|0.0|0
0|2020-05-20|30.0|0|6.0|0|0.0|0
0|2020-05-21|32.0|0|7.0|0|0.0|0
0|2020-05-22|33.0|0|7.0|0|0.0|0
0|2020-05-23|33.0|0|7.0|0|0.0|0
