|dates|Crisp_Georgia_UnitedStates.JHU_ConfirmedCases.data|Crisp_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Crisp_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Crisp_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Crisp_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Crisp_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|226.0|0|7.0|0|0.0|0
0|2020-05-28|226.0|0|7.0|0|0.0|0
0|2020-05-29|226.0|0|7.0|0|0.0|0
0|2020-05-30|226.0|0|7.0|0|0.0|0
