|dates|Dallas_Alabama_UnitedStates.JHU_ConfirmedCases.data|Dallas_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Dallas_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Dallas_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Dallas_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Dallas_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|146.0|0|3.0|0|0.0|0
0|2020-05-18|151.0|0|3.0|0|0.0|0
0|2020-05-19|159.0|0|3.0|0|0.0|0
0|2020-05-20|172.0|0|3.0|0|0.0|0
0|2020-05-21|173.0|0|3.0|0|0.0|0
0|2020-05-22|182.0|0|3.0|0|0.0|0
0|2020-05-23|182.0|0|3.0|0|0.0|0
