|dates|Lawrence_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Lawrence_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Lawrence_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Lawrence_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Lawrence_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Lawrence_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|9.0|0|0.0|0|0.0|0
0|2020-05-28|9.0|0|0.0|0|0.0|0
0|2020-05-29|9.0|0|0.0|0|0.0|0
0|2020-05-30|9.0|0|0.0|0|0.0|0
