|dates|Sullivan_Indiana_UnitedStates.JHU_ConfirmedCases.data|Sullivan_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Sullivan_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Sullivan_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Sullivan_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Sullivan_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|32.0|0|1.0|0|0.0|0
0|2020-05-25|32.0|0|1.0|0|0.0|0
0|2020-05-26|32.0|0|1.0|0|0.0|0
