|dates|Clinton_Michigan_UnitedStates.JHU_ConfirmedCases.data|Clinton_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Clinton_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Clinton_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Clinton_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Clinton_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|142.0|0|10.0|0|0.0|0
0|2020-05-28|142.0|0|10.0|0|0.0|0
0|2020-05-29|142.0|0|10.0|0|0.0|0
0|2020-05-30|142.0|0|10.0|0|0.0|0
