|dates|Logan_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Logan_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Logan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Logan_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Logan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Logan_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|77.0|0|1.0|0|0.0|0
0|2020-05-15|80.0|0|1.0|0|0.0|0
0|2020-05-16|80.0|0|1.0|0|0.0|0
