|dates|Iosco_Michigan_UnitedStates.JHU_ConfirmedCases.data|Iosco_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Iosco_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Iosco_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Iosco_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Iosco_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|89.0|0|9.0|0|0.0|0
0|2020-05-28|89.0|0|9.0|0|0.0|0
0|2020-05-29|89.0|0|9.0|0|0.0|0
0|2020-05-30|89.0|0|9.0|0|0.0|0
