|dates|BristolBay_Alaska_UnitedStates.JHU_ConfirmedCases.data|BristolBay_Alaska_UnitedStates.JHU_ConfirmedCases.missing|BristolBay_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|BristolBay_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|BristolBay_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|BristolBay_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|373.0|0|9.0|0|0.0|0
0|2020-05-15|373.0|0|9.0|0|0.0|0
0|2020-05-16|373.0|0|9.0|0|0.0|0
