|dates|Montgomery_Texas_UnitedStates.JHU_ConfirmedCases.data|Montgomery_Texas_UnitedStates.JHU_ConfirmedCases.missing|Montgomery_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Montgomery_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Montgomery_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Montgomery_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|798.0|0|18.0|0|0.0|0
0|2020-05-18|817.0|0|18.0|0|0.0|0
0|2020-05-19|848.0|0|18.0|0|0.0|0
0|2020-05-20|861.0|0|21.0|0|0.0|0
0|2020-05-21|881.0|0|21.0|0|0.0|0
0|2020-05-22|888.0|0|23.0|0|0.0|0
0|2020-05-23|888.0|0|23.0|0|0.0|0
