|dates|Marion_Georgia_UnitedStates.JHU_ConfirmedCases.data|Marion_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Marion_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|52.0|0|2.0|0|0.0|0
0|2020-05-28|52.0|0|2.0|0|0.0|0
0|2020-05-29|52.0|0|2.0|0|0.0|0
0|2020-05-30|52.0|0|2.0|0|0.0|0
