|dates|Hopkins_Texas_UnitedStates.JHU_ConfirmedCases.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hopkins_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hopkins_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hopkins_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|8.0|0|0.0|0|0.0|0
0|2020-05-18|8.0|0|0.0|0|0.0|0
0|2020-05-19|8.0|0|0.0|0|0.0|0
0|2020-05-20|11.0|0|0.0|0|0.0|0
0|2020-05-21|12.0|0|0.0|0|0.0|0
0|2020-05-22|12.0|0|0.0|0|0.0|0
0|2020-05-23|12.0|0|0.0|0|0.0|0
