|dates|Pittsylvania_Virginia_UnitedStates.JHU_ConfirmedCases.data|Pittsylvania_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Pittsylvania_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Pittsylvania_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Pittsylvania_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Pittsylvania_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|24.0|0|1.0|0|0.0|0
0|2020-05-18|24.0|0|1.0|0|0.0|0
0|2020-05-19|26.0|0|1.0|0|0.0|0
0|2020-05-20|26.0|0|1.0|0|0.0|0
0|2020-05-21|26.0|0|1.0|0|0.0|0
0|2020-05-22|27.0|0|1.0|0|0.0|0
0|2020-05-23|27.0|0|1.0|0|0.0|0
