|dates|Steele_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Steele_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Steele_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Steele_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Steele_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Steele_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|85.0|0|0.0|0|0.0|0
0|2020-05-15|92.0|0|0.0|0|0.0|0
0|2020-05-16|92.0|0|0.0|0|0.0|0
