|dates|Monroe_Illinois_UnitedStates.JHU_ConfirmedCases.data|Monroe_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Monroe_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|82.0|0|11.0|0|0.0|0
0|2020-05-15|83.0|0|11.0|0|0.0|0
0|2020-05-16|83.0|0|11.0|0|0.0|0
