|dates|Shenandoah_Virginia_UnitedStates.JHU_ConfirmedCases.data|Shenandoah_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Shenandoah_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Shenandoah_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Shenandoah_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Shenandoah_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|372.0|0|16.0|0|0.0|0
0|2020-05-25|376.0|0|17.0|0|0.0|0
0|2020-05-26|376.0|0|17.0|0|0.0|0
