|dates|Lunenburg_Virginia_UnitedStates.JHU_ConfirmedCases.data|Lunenburg_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Lunenburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Lunenburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Lunenburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Lunenburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|8.0|0|0.0|0|0.0|0
0|2020-05-25|8.0|0|0.0|0|0.0|0
0|2020-05-26|8.0|0|0.0|0|0.0|0
