|dates|Susquehanna_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Susquehanna_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Susquehanna_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Susquehanna_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Susquehanna_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Susquehanna_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|83.0|0|14.0|0|0.0|0
0|2020-05-18|85.0|0|15.0|0|0.0|0
0|2020-05-19|85.0|0|15.0|0|0.0|0
0|2020-05-20|87.0|0|15.0|0|0.0|0
0|2020-05-21|90.0|0|15.0|0|0.0|0
0|2020-05-22|93.0|0|15.0|0|0.0|0
0|2020-05-23|93.0|0|15.0|0|0.0|0
