|dates|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Olmsted_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|575.0|0|10.0|0|0.0|0
0|2020-05-28|575.0|0|10.0|0|0.0|0
0|2020-05-29|575.0|0|10.0|0|0.0|0
0|2020-05-30|575.0|0|10.0|0|0.0|0
