|dates|Putnam_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Putnam_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Putnam_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|428.0|0|5.0|0|0.0|0
0|2020-05-28|428.0|0|5.0|0|0.0|0
0|2020-05-29|428.0|0|5.0|0|0.0|0
0|2020-05-30|428.0|0|5.0|0|0.0|0
