|dates|Loudoun_Virginia_UnitedStates.JHU_ConfirmedCases.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Loudoun_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Loudoun_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Loudoun_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1821.0|0|52.0|0|0.0|0
0|2020-05-25|2047.0|0|52.0|0|0.0|0
0|2020-05-26|2047.0|0|52.0|0|0.0|0
