|dates|Okmulgee_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Okmulgee_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Okmulgee_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Okmulgee_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Okmulgee_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Okmulgee_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|23.0|0|0.0|0|0.0|0
0|2020-05-25|23.0|0|0.0|0|0.0|0
0|2020-05-26|23.0|0|0.0|0|0.0|0
