|dates|Erie_Ohio_UnitedStates.JHU_ConfirmedCases.data|Erie_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Erie_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Erie_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Erie_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Erie_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|102.0|0|3.0|0|0.0|0
0|2020-05-18|121.0|0|3.0|0|0.0|0
0|2020-05-19|124.0|0|3.0|0|0.0|0
0|2020-05-20|124.0|0|4.0|0|0.0|0
0|2020-05-21|131.0|0|4.0|0|0.0|0
0|2020-05-22|133.0|0|4.0|0|0.0|0
0|2020-05-23|133.0|0|4.0|0|0.0|0
