|dates|Adams_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Adams_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Adams_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Adams_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Adams_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Adams_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|264.0|0|11.0|0|0.0|0
0|2020-05-28|264.0|0|11.0|0|0.0|0
0|2020-05-29|264.0|0|11.0|0|0.0|0
0|2020-05-30|264.0|0|11.0|0|0.0|0
