|dates|Owen_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Owen_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Owen_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Owen_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Owen_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Owen_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1.0|0|0.0|0|0.0|0
0|2020-05-25|1.0|0|0.0|0|0.0|0
0|2020-05-26|1.0|0|0.0|0|0.0|0
