|dates|Dale_Alabama_UnitedStates.JHU_ConfirmedCases.data|Dale_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Dale_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Dale_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Dale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Dale_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|83.0|0|0.0|0|0.0|0
0|2020-05-25|85.0|0|0.0|0|0.0|0
0|2020-05-26|85.0|0|0.0|0|0.0|0
