|dates|Manistee_Michigan_UnitedStates.JHU_ConfirmedCases.data|Manistee_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Manistee_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Manistee_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Manistee_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Manistee_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|11.0|0|0.0|0|0.0|0
0|2020-05-18|11.0|0|0.0|0|0.0|0
0|2020-05-19|11.0|0|0.0|0|0.0|0
0|2020-05-20|11.0|0|0.0|0|0.0|0
0|2020-05-21|11.0|0|0.0|0|0.0|0
0|2020-05-22|11.0|0|0.0|0|0.0|0
0|2020-05-23|11.0|0|0.0|0|0.0|0
