|dates|Lowndes_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lowndes_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lowndes_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lowndes_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lowndes_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lowndes_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|100.0|0|4.0|0|0.0|0
0|2020-05-15|108.0|0|4.0|0|0.0|0
0|2020-05-16|108.0|0|4.0|0|0.0|0
