|dates|Starr_Texas_UnitedStates.JHU_ConfirmedCases.data|Starr_Texas_UnitedStates.JHU_ConfirmedCases.missing|Starr_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Starr_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Starr_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Starr_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|17.0|0|0.0|0|0.0|0
0|2020-05-18|17.0|0|0.0|0|0.0|0
0|2020-05-19|23.0|0|0.0|0|0.0|0
0|2020-05-20|23.0|0|0.0|0|0.0|0
0|2020-05-21|23.0|0|0.0|0|0.0|0
0|2020-05-22|23.0|0|0.0|0|0.0|0
0|2020-05-23|23.0|0|0.0|0|0.0|0
