|dates|Summit_Utah_UnitedStates.JHU_ConfirmedCases.data|Summit_Utah_UnitedStates.JHU_ConfirmedCases.missing|Summit_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Summit_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Summit_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Summit_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|401.0|0|0.0|0|0.0|0
0|2020-05-18|401.0|0|0.0|0|0.0|0
0|2020-05-19|403.0|0|0.0|0|0.0|0
0|2020-05-20|403.0|0|0.0|0|0.0|0
0|2020-05-21|404.0|0|0.0|0|0.0|0
0|2020-05-22|403.0|0|0.0|0|0.0|0
0|2020-05-23|403.0|0|0.0|0|0.0|0
