|dates|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|207.0|0|8.0|0|0.0|0
0|2020-05-18|206.0|0|8.0|0|0.0|0
0|2020-05-19|211.0|0|8.0|0|0.0|0
0|2020-05-20|213.0|0|8.0|0|0.0|0
0|2020-05-21|217.0|0|8.0|0|0.0|0
0|2020-05-22|219.0|0|8.0|0|0.0|0
0|2020-05-23|219.0|0|8.0|0|0.0|0
