|dates|Clarke_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Clarke_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Clarke_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Clarke_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Clarke_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Clarke_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|101.0|0|12.0|0|0.0|0
0|2020-05-18|102.0|0|13.0|0|0.0|0
0|2020-05-19|113.0|0|14.0|0|0.0|0
0|2020-05-20|120.0|0|16.0|0|0.0|0
0|2020-05-21|119.0|0|16.0|0|0.0|0
0|2020-05-22|123.0|0|16.0|0|0.0|0
0|2020-05-23|123.0|0|16.0|0|0.0|0
