|dates|Greene_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Greene_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Greene_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|7.0|0|1.0|0|0.0|0
0|2020-05-15|7.0|0|1.0|0|0.0|0
0|2020-05-16|7.0|0|1.0|0|0.0|0
