|dates|Charles_Maryland_UnitedStates.JHU_ConfirmedCases.data|Charles_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Charles_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Charles_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Charles_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Charles_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|859.0|0|62.0|0|0.0|0
0|2020-05-18|867.0|0|62.0|0|0.0|0
0|2020-05-19|895.0|0|63.0|0|0.0|0
0|2020-05-20|921.0|0|64.0|0|0.0|0
0|2020-05-21|943.0|0|65.0|0|0.0|0
0|2020-05-22|956.0|0|67.0|0|0.0|0
0|2020-05-23|956.0|0|67.0|0|0.0|0
