|dates|Butler_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Butler_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Butler_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|199.0|0|6.0|0|0.0|0
0|2020-05-15|202.0|0|6.0|0|0.0|0
0|2020-05-16|202.0|0|6.0|0|0.0|0
