|dates|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Nicollet_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|23.0|0|2.0|0|0.0|0
0|2020-05-15|28.0|0|2.0|0|0.0|0
0|2020-05-16|28.0|0|2.0|0|0.0|0
