|dates|Drew_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Drew_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Drew_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Drew_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Drew_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Drew_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|19.0|0|1.0|0|0.0|0
0|2020-05-28|19.0|0|1.0|0|0.0|0
0|2020-05-29|19.0|0|1.0|0|0.0|0
0|2020-05-30|19.0|0|1.0|0|0.0|0
