|dates|Gibson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Gibson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Gibson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Gibson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Gibson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Gibson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|58.0|0|1.0|0|0.0|0
0|2020-05-18|59.0|0|1.0|0|0.0|0
0|2020-05-19|59.0|0|1.0|0|0.0|0
0|2020-05-20|59.0|0|1.0|0|0.0|0
0|2020-05-21|59.0|0|1.0|0|0.0|0
0|2020-05-22|60.0|0|1.0|0|0.0|0
0|2020-05-23|60.0|0|1.0|0|0.0|0
