|dates|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Cherokee_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|30.0|0|1.0|0|0.0|0
0|2020-05-25|30.0|0|1.0|0|0.0|0
0|2020-05-26|30.0|0|1.0|0|0.0|0
