|dates|Ross_Ohio_UnitedStates.JHU_ConfirmedCases.data|Ross_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Ross_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Ross_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Ross_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Ross_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|58.0|0|1.0|0|0.0|0
0|2020-05-18|58.0|0|1.0|0|0.0|0
0|2020-05-19|59.0|0|1.0|0|0.0|0
0|2020-05-20|60.0|0|1.0|0|0.0|0
0|2020-05-21|60.0|0|1.0|0|0.0|0
0|2020-05-22|61.0|0|1.0|0|0.0|0
0|2020-05-23|61.0|0|1.0|0|0.0|0
